treatment,variable,variable.label,variable.mean,posterior.mean,posterior.sd,5,95,25,75
Balled-and-burlapped,total.veg.carbon,Total vegetation,110.6579112,142.8005144,43.99505874,61.03958335,207.8312726,115.455383,172.983733
Bareroot,total.veg.carbon,Total vegetation,110.6579112,82.44876594,37.17456305,23.22022256,143.5923757,54.56897846,104.8897461
Seedling,total.veg.carbon,Total vegetation,110.6579112,192.6013602,43.79643344,115.8394593,257.6658425,161.5131496,215.7627795
Acorn,total.veg.carbon,Total vegetation,110.6579112,58.03275427,30.12122573,12.28665312,107.7887466,28.56046906,66.70971278
Seedbank,total.veg.carbon,Total vegetation,110.6579112,46.60787702,28.01614586,6.486178713,87.77147495,20.9672891,55.40110621
Reference,total.veg.carbon,Total vegetation,110.6579112,107.2778023,42.37220472,35.01734679,171.5204602,84.9339216,141.1682669
Balled-and-burlapped,total.ecosystem.carbon,Total ecosystem,222.7078553,262.900556,45.3009861,192.5276629,338.8423133,232.568184,289.1801489
Bareroot,total.ecosystem.carbon,Total ecosystem,222.7078553,188.7537672,43.29969851,120.2596129,260.4822828,154.6197453,212.0991696
Seedling,total.ecosystem.carbon,Total ecosystem,222.7078553,302.4410395,47.67635156,230.452403,379.6352209,271.4562125,330.4065436
Acorn,total.ecosystem.carbon,Total ecosystem,222.7078553,150.2468326,42.41021199,81.65808597,217.9581663,123.4702019,179.2023916
